1,"Dance Monkey","Tones and I",50409214,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"The Box","Roddy Ricch",48937592,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Tusa,"KAROL G",41434019,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,"Godzilla (feat. Juice WRLD)",Eminem,40637125,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
5,Yummy,"Justin Bieber",34586419,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
6,"Life Is Good (feat. Drake)",Future,34200687,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
7,"Blinding Lights","The Weeknd",33551309,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,ROXANNE,"Arizona Zervas",32102084,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
9,Falling,"Trevor Daniel",28606316,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"Don't Start Now","Dua Lipa",28228768,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
